DP Identifier,MSCIWorldTRI,TOP40,LEBUAGCH,LEBUCGCH,LEBUPFCH,LEBUWPCH
Date,MSCIWorldTRI Index,TOP40 Index,LEBUAGCH,LEBUCGCH,LEBUPFCH,LEBUWPCH
17/06/2020,9493.03,49661.14,2.9892,2.753815,2.800888,2.983999
18/06/2020,9483.87,49589.11,2.989256,2.759009,2.803116,2.992757
19/06/2020,9457.19,49812.34,3.005516,2.771377,2.817782,2.999174
22/06/2020,9495.88,49877.86,2.996666,2.764854,2.809887,2.991468
23/06/2020,9574.2,51193.19,3.013591,2.771433,2.822026,3.002103
24/06/2020,9334.82,50193.8,3.003333,2.769302,2.815314,3.004419
25/06/2020,9392.11,49732.92,2.978381,2.756533,2.796324,2.971014
26/06/2020,9237.29,49477.85,2.981713,2.762134,2.800809,2.973287
29/06/2020,9323.05,49920.09,2.97087,2.754008,2.791353,2.95467
30/06/2020,9432.11,50174.95,2.991639,2.771315,2.810143,2.993543
01/07/2020,9473.27,49570.88,3.006091,2.783504,2.823194,3.03231
02/07/2020,9545.2,50309.77,3.022056,2.788196,2.834016,3.036104
03/07/2020,9540.09,50179.89,3.021788,2.786465,2.832784,3.050609
06/07/2020,9702.7,50503.91,3.02745,2.785787,2.835478,3.05354
07/07/2020,9612.96,50922.32,3.036948,2.792993,2.843569,3.07522
08/07/2020,9653.71,51558.75,3.04868,2.794158,2.850513,3.072791
09/07/2020,9605.19,51536.91,3.054646,2.797805,2.855547,3.072781
10/07/2020,9686.07,51154.08,3.037411,2.792598,2.844006,3.056577
13/07/2020,9661.07,51874.81,3.056317,2.804247,2.85953,3.067182
14/07/2020,9734.77,51235.09,3.036436,2.794246,2.844265,3.054204
15/07/2020,9855.45,51606.7,3.048111,2.799378,2.853161,3.057069
16/07/2020,9812.88,51363.49,3.060723,2.808652,2.863881,3.076902
17/07/2020,9835.09,51515.88,3.058863,2.80677,2.862001,3.073436
20/07/2020,9917.06,51852.22,3.066391,2.810193,2.867502,3.082248
21/07/2020,9954.02,52016.52,3.076018,2.814597,2.874902,3.081213
22/07/2020,9980.86,51412.02,3.055724,2.808899,2.861596,3.063766
23/07/2020,9897.25,51683.61,3.073487,2.820543,2.876123,3.085514
24/07/2020,9826.72,51259.48,3.070386,2.82502,2.876564,3.085145
27/07/2020,9912.76,51914.08,3.063792,2.816295,2.869262,3.065405
28/07/2020,9862.59,52043.05,3.081914,2.828875,2.884743,3.088925
29/07/2020,9947.58,52245.75,3.085714,2.82764,2.886206,3.085867
30/07/2020,9881.42,51451.44,3.082802,2.832413,2.886621,3.102427
31/07/2020,9886.49,51368.82,3.082661,2.83588,2.888028,3.102791
03/08/2020,9968.63,51571.71,3.0839,2.840857,2.890487,3.11682
04/08/2020,10023.36,51951.34,3.094486,2.84821,2.899199,3.131016
05/08/2020,10105.36,53279.3,3.123365,2.8629,2.921378,3.148166
06/08/2020,10124.02,53350.88,3.141171,2.878897,2.937854,3.173314
07/08/2020,10108.67,52435.65,3.134533,2.880811,2.935208,3.175348
11/08/2020,10123.96,52831.61,3.146143,2.884261,2.942844,3.182362
12/08/2020,10263.61,53126.54,3.140208,2.878391,2.937141,3.172382
13/08/2020,10259.94,53082.08,3.14845,2.884753,2.944376,3.185393
14/08/2020,10235.57,52737.48,3.140607,2.882032,2.939035,3.174915
17/08/2020,10277.76,53140.21,3.14517,2.88516,2.94282,3.181083
18/08/2020,10302.01,52738.12,3.142006,2.882459,2.93998,3.177122
19/08/2020,10282.31,52137.86,3.123525,2.869143,2.92414,3.158962
20/08/2020,10260.46,51380.02,3.107803,2.864832,2.913708,3.15215
21/08/2020,10273.74,51669.18,3.111285,2.864304,2.915373,3.14896
24/08/2020,10381.9,52256.84,3.127106,2.866049,2.924955,3.148869
25/08/2020,10407.62,51767.88,3.116509,2.8621,2.917593,3.143823
26/08/2020,10507.11,52256.85,3.125044,2.867009,2.924326,3.15391
27/08/2020,10493.63,52583.7,3.141217,2.8779,2.937916,3.169849
28/08/2020,10555.53,51750.45,3.103462,2.851699,2.905792,3.133879
31/08/2020,10550.97,51225.46,3.099067,2.855512,2.905161,3.139631
01/09/2020,10601.89,51704.1,3.093131,2.851703,2.900607,3.122529
02/09/2020,10718.07,51678.3,3.105054,2.863721,2.912111,3.141838
03/09/2020,10426.59,50319.16,3.087765,2.855039,2.898915,3.130902
04/09/2020,10314.14,49720.42,3.055746,2.831118,2.871253,3.091864
07/09/2020,10350.79,50185.43,3.051706,2.826688,2.866898,3.086964
08/09/2020,10120.69,50182.96,3.070029,2.839817,2.882406,3.109566
09/09/2020,10290.39,50838.92,3.077086,2.834822,2.88416,3.092529
10/09/2020,10179.27,51532.12,3.111285,2.855904,2.911997,3.127901
11/09/2020,10181.03,51715.12,3.098166,2.847111,2.90096,3.114408
14/09/2020,10304.52,51976.82,3.104539,2.851485,2.906442,3.119368
15/09/2020,10354.58,51795.7,3.094795,2.846096,2.899034,3.110709
16/09/2020,10335.71,51629.73,3.082319,2.838446,2.888988,3.096986
17/09/2020,10250.18,50700.14,3.06245,2.828316,2.873704,3.081788
18/09/2020,10183.46,50399.16,3.04707,2.8189,2.861398,3.065156
21/09/2020,10018.33,49153.11,3.040323,2.821875,2.858385,3.081288
22/09/2020,10078.17,49126.16,3.010686,2.796389,2.8308,3.046771
23/09/2020,9915.99,50127.05,3.053679,2.825289,2.866741,3.093084
25/09/2020,10008.73,49547.74,3.023643,2.807736,2.842523,3.067018
28/09/2020,10178.87,50578.66,3.064347,2.830238,2.874664,3.098345
29/09/2020,10157.96,50319.94,3.061622,2.827036,2.871908,3.093339
30/09/2020,10191.08,50042.44,3.055356,2.82159,2.866137,3.082905
01/10/2020,10247.47,50159.14,3.056262,2.821201,2.866616,3.081164
02/10/2020,10171.74,49896.68,3.046756,2.813217,2.857882,3.073036
05/10/2020,10349.64,50183.12,3.046047,2.810114,2.856286,3.066689
06/10/2020,10259.87,49869.36,3.055237,2.817139,2.864185,3.088399
07/10/2020,10375.51,50412.19,3.052985,2.816109,2.862463,3.08558
08/10/2020,10455.21,50131.37,3.067691,2.826579,2.875001,3.102363
09/10/2020,10543.21,50781.18,3.076164,2.832303,2.88236,3.104579
12/10/2020,10673.13,51158.56,3.095946,2.846341,2.899226,3.123396
13/10/2020,10613.95,50722.36,3.092836,2.848672,2.898593,3.128972
14/10/2020,10569.11,51041.59,3.089956,2.84511,2.89543,3.122811
15/10/2020,10493.28,50503.89,3.086293,2.846035,2.893608,3.126112
16/10/2020,10511.53,50697.69,3.083102,2.843062,2.890868,3.11369
19/10/2020,10415.86,50741.94,3.089804,2.846832,2.896204,3.115522
20/10/2020,10436.58,50851.62,3.086464,2.842891,2.892647,3.110257
21/10/2020,10415.75,50905.12,3.08507,2.839836,2.89074,3.101314
22/10/2020,10430.15,50276.84,3.082383,2.83947,2.88923,3.096095
23/10/2020,10471.79,50692.28,3.099438,2.850051,2.903351,3.107986
26/10/2020,10297.54,50286.9,3.09037,2.844003,2.895576,3.102484
27/10/2020,10261.35,49560.81,3.074358,2.834787,2.883102,3.087504
28/10/2020,9938.2,47930.58,3.021827,2.805767,2.841614,3.050917
